Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.106832217331193,0.117194003932941,0.0698013615299844,0,0,0,3.00981442916595,0.00581402250154947,4.33905688748284E-07,-4.29101613516921E-07,0.00672687288328896,-7.93136902499232E-06,0.011765351235177,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140331,0.00297622851896683,0,0,0,0.0727928435161986,2.20927876796312E-05,-1.64845302056396E-08,-1.56454773175215E-07,1.62632133784213E-05,2.96411876511178E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS2,Axis_LFS,LFS,fixed,0.204406433684605,0.0540436140506676,-0.0145027479853973,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,3.46944695195361E-18,0,0,0,0.767080911081153,0.00116426102407189,4.45758864315272E-22,-1.82994146746971E-20,0.000639661580367031,-1.35525271560688E-20,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW2,Axis_LFW2,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707057,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056316E-08,1.56454773175213E-07,1.62632133784213E-05,-2.96411876510411E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS2,Axis_RFS,RFS,fixed,-0.0207840297098062,0.103073017420291,0.00278439186905151,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.767080911081152,0.00116426102407189,-1.2315168370675E-36,4.60638074444741E-39,0.000639661580367031,8.00462841683581E-39,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW2,Axis_RFW2,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
RBS,0,-0.0450291457089084,0,0,0,0,0.442042052280736,0.00028466325059699,8.78441777413999E-23,-7.00578945187171E-22,0.000175308591947339,1.40360965865114E-21,0.000284100534303298,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus_all-1,Origin_RBS2,,RBS,fixed,0.25,0.202,0.0087742,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
LBS,0,-0.0450291457089084,-2.77555756156289E-17,0,0,0,0.442042052280736,0.00028466325059699,-1.27209617099991E-21,-4.8787092274987E-23,0.000175308591947339,1.56095035680833E-21,0.000284100534303298,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus_all-2,Origin_LBS2,,LBS,fixed,-0.040003,0.202,0.0087742,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
fcam,0.000445525090232348,-1.10631679102191E-05,0.00129821973144112,0,0,0,0.0436119950287124,2.35707058046396E-05,-1.0181369170246E-09,2.17579681215399E-08,4.29479133591155E-06,-8.85791113902288E-10,2.21058141232445E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,0.10501,0.012,0.15699,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
bcam,0.000445525343313255,-1.1063000496872E-05,0.0012982197254874,0,0,0,0.0436119949785286,2.35707056099601E-05,-1.01834758005588E-09,2.17579332532698E-08,4.29479078276665E-06,-8.85484503962087E-10,2.21058144654638E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0.10501,0.020581,0.12171,0,0.7854,-1.5708,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.0135233596034069,0.000461955981906043,-0.0287648854958094,0,0,0,0.0730845718061003,1.95808757289969E-05,-1.03933607120825E-07,-4.28391180894406E-07,2.41250080052284E-05,9.42709601075239E-09,4.14184516532946E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,Axis_Lidar,Lidar,fixed,0.1040059524463,0.194576367600143,0.228499999999998,0,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
